method,split seed,p,selection,labels,improvement
OBMA,20,"(0.5, 60)","[[0, 1, 2, 6, 7, 8, 11, 14, 15, 17, 20, 21, 22, 23, 25, 28, 29, 30, 33], [0, 3, 4, 5, 6, 7, 10, 11, 13, 15, 16, 19, 20, 21, 23, 25, 26, 29, 30], [2, 3, 4, 7, 11, 12, 13, 14, 16, 18, 20, 21, 22, 23, 27, 28, 29, 32, 33, 36, 37]]","[1, 2, 0]",[nan]
OBMA,20,"(0.25, 30)","[[0, 2, 6, 8, 11, 14, 17, 22, 23, 33], [3, 4, 6, 7, 10, 13, 15, 16, 23, 29], [7, 11, 12, 13, 16, 20, 22, 29, 36, 37]]","[1, 2, 0]",[nan]
OBMA,20,"(0.125, 15)","[[0, 8, 17, 22, 23], [4, 13, 16, 23, 29], [11, 13, 20, 36, 37]]","[1, 2, 0]",[nan]
OBMA,21,"(0.5, 60)","[[0, 1, 4, 6, 9, 10, 11, 13, 15, 16, 21, 22, 23, 26, 28, 29, 30, 31], [0, 1, 2, 3, 4, 5, 7, 10, 11, 14, 16, 18, 19, 20, 22, 24, 25, 31, 34, 38], [0, 1, 4, 5, 6, 7, 8, 10, 14, 15, 16, 18, 19, 22, 23, 24, 28, 30, 33, 34, 36, 37]]","[0, 1, 2]",[nan]
OBMA,21,"(0.25, 30)","[[4, 9, 10, 13, 15, 16, 23, 28, 31], [0, 2, 5, 10, 11, 14, 18, 25, 34, 38], [4, 8, 10, 14, 15, 16, 18, 19, 28, 33, 36]]","[0, 1, 2]",[nan]
OBMA,21,"(0.125, 15)","[[9, 10, 15, 28, 31], [0, 5, 18, 25, 38], [10, 14, 15, 28, 33]]","[0, 1, 2]",[nan]
OBMA,22,"(0.5, 60)","[[0, 1, 4, 5, 7, 11, 12, 14, 16, 18, 21, 23, 24, 26, 28, 29, 31, 35], [1, 4, 5, 6, 7, 8, 9, 14, 15, 16, 18, 19, 20, 23, 24, 27, 30, 31, 33, 34], [2, 3, 5, 8, 13, 14, 15, 16, 18, 20, 21, 22, 23, 27, 29, 30, 31, 32, 34, 37, 38]]","[1, 2, 0]",[nan]
OBMA,22,"(0.25, 30)","[[4, 7, 11, 12, 14, 18, 26, 29, 35], [4, 5, 9, 14, 15, 16, 18, 19, 24, 27], [8, 13, 14, 16, 20, 21, 22, 23, 29, 30, 34]]","[1, 2, 0]",[nan]
OBMA,22,"(0.125, 15)","[[7, 12, 26, 29, 35], [5, 9, 15, 19, 27], [13, 14, 16, 20, 22]]","[1, 2, 0]",[nan]
OBMA,23,"(0.5, 60)","[[0, 1, 5, 6, 7, 8, 9, 11, 15, 16, 17, 18, 21, 24, 27, 30, 31, 33], [2, 4, 6, 11, 12, 13, 15, 17, 18, 19, 20, 24, 26, 27, 29, 30, 31, 33, 34, 36], [0, 1, 2, 5, 7, 11, 14, 16, 17, 18, 19, 21, 22, 23, 25, 28, 29, 31, 32, 35, 40]]","[2, 0, 1]",[nan]
