method,split seed,p,selection,labels,improvement
OBMA,17,"(0.25, 42)","[[6, 12, 17, 18, 24, 29, 31, 33, 40, 43, 45, 47, 48], [6, 12, 13, 15, 16, 21, 27, 29, 32, 36, 40, 47, 49], [2, 4, 13, 14, 15, 16, 19, 22, 34, 36, 40, 45, 49, 53, 56, 57]]","[1, 3, 2]",[nan]
OBMA,17,"(0.125, 21)","[[12, 29, 31, 43, 47, 48], [6, 12, 16, 27, 47, 49], [13, 14, 15, 22, 34, 36, 45, 53, 57]]","[1, 3, 2]",[nan]
OBMA,18,"(0.5, 84)","[[4, 5, 6, 11, 12, 16, 17, 19, 20, 28, 30, 31, 32, 33, 34, 36, 38, 39, 40, 41, 44, 46, 48, 50, 51, 52, 53], [1, 2, 7, 9, 13, 14, 15, 16, 19, 21, 22, 26, 27, 29, 30, 33, 34, 36, 37, 38, 40, 41, 44, 46, 48, 50, 53], [2, 6, 7, 9, 12, 13, 15, 19, 20, 21, 26, 27, 28, 30, 32, 33, 34, 35, 36, 37, 44, 46, 47, 48, 50, 51, 52, 57, 58]]","[2, 3, 1]",[nan]
OBMA,18,"(0.25, 42)","[[5, 12, 16, 17, 19, 28, 31, 32, 40, 44, 48, 50, 53], [1, 7, 13, 14, 26, 27, 29, 30, 40, 44, 48, 50, 53], [2, 6, 13, 15, 20, 26, 27, 30, 32, 36, 44, 46, 50, 51, 52, 58]]","[2, 3, 1]",[nan]
OBMA,18,"(0.125, 21)","[[12, 17, 19, 32, 40, 53], [7, 13, 16, 26, 44, 48], [2, 15, 20, 30, 32, 36, 46, 50, 51]]","[2, 3, 1]",[nan]
OBMA,19,"(0.5, 84)","[[2, 5, 6, 7, 9, 10, 11, 13, 14, 15, 19, 22, 27, 30, 31, 32, 33, 36, 38, 40, 44, 45, 46, 47, 49, 51, 52], [1, 2, 6, 9, 11, 14, 16, 18, 20, 21, 23, 24, 25, 26, 28, 30, 31, 32, 33, 38, 41, 42, 43, 45, 48, 49, 52], [2, 7, 8, 10, 12, 13, 15, 18, 19, 20, 21, 24, 26, 27, 29, 30, 32, 34, 36, 37, 44, 45, 47, 48, 49, 50, 51, 52, 53]]","[2, 3, 1]",[nan]
OBMA,19,"(0.25, 42)","[[13, 14, 19, 27, 32, 38, 40, 44, 45, 46, 47, 51, 52], [1, 9, 16, 18, 24, 30, 32, 33, 38, 41, 45, 48, 52], [2, 7, 8, 13, 15, 19, 20, 24, 26, 32, 36, 44, 47, 50, 51, 52]]","[2, 3, 1]",[nan]
OBMA,19,"(0.125, 21)","[[13, 14, 19, 44, 45, 52], [9, 16, 33, 41, 45, 52], [2, 7, 13, 15, 20, 36, 45, 50, 52]]","[2, 3, 1]",[nan]
OBMA,20,"(0.5, 84)","[[0, 4, 6, 10, 11, 12, 14, 15, 18, 19, 21, 22, 23, 24, 25, 28, 30, 32, 33, 40, 41, 43, 46, 47, 48, 50], [3, 7, 8, 9, 11, 14, 15, 17, 21, 22, 23, 28, 29, 31, 32, 34, 36, 38, 43, 44, 45, 46, 47, 48, 49, 50, 51, 56], [2, 5, 6, 8, 10, 11, 13, 14, 15, 19, 20, 23, 24, 30, 32, 33, 34, 35, 36, 37, 41, 43, 45, 49, 50, 52, 54, 56, 57]]","[3, 1, 2]",[nan]
OBMA,20,"(0.25, 42)","[[4, 11, 12, 14, 23, 24, 30, 32, 33, 40, 43, 47, 50], [3, 7, 9, 15, 17, 21, 22, 28, 29, 32, 34, 48, 49, 50], [6, 13, 14, 15, 20, 23, 34, 35, 36, 43, 45, 50, 52, 54, 57]]","[3, 1, 2]",[nan]
OBMA,20,"(0.125, 21)","[[4, 11, 32, 33, 40, 43, 50], [17, 28, 29, 32, 34, 48, 50], [13, 14, 20, 23, 45, 54, 57]]","[3, 1, 2]",[nan]
OBMA,21,"(0.5, 84)","[[3, 7, 9, 10, 12, 13, 14, 18, 19, 20, 21, 26, 29, 30, 31, 32, 38, 39, 41, 42, 44, 45, 46, 48, 50, 51], [0, 1, 5, 8, 10, 16, 17, 18, 20, 21, 22, 23, 26, 27, 29, 30, 31, 32, 35, 36, 39, 40, 43, 44, 45, 49, 51, 54], [1, 5, 6, 9, 10, 14, 15, 16, 17, 21, 22, 24, 28, 33, 35, 37, 38, 39, 40, 41, 42, 44, 46, 47, 48, 52, 55, 56, 57, 58]]","[1, 3, 2]",[nan]
